chainname,chainid
Liberty Bank,5568ef0da7c8a9cf8ec3deca
Liberty Tax,556e23e9a7c82e6b7252ceaf
Liberty Travel,556a410ca7c8957d73d5d857
Lids,56285abb498e992da0150cfa
Life Time Fitness,556c9327a7c8a11a36bd91eb
LifeSafer Ignition Interlock,556d1914aceaff43eb0a123c
LifeWay Christian Stores,556a410ca7c8957d73d5d854
LIRR,556a34ffa7c8957d73d4e7b8
Little Caesars,556e3827bd6a82902e253a7a
LoafNJug,556a48c3a7c8957d73d66808
LoanMax Title Loans,5569f94ba7c8896abe7d1fa5
LOFT,589a3f430bc55b628a0c7c83
Logan's Roadhouse,556ca00ca7c87f63786a202e
Lone Star Steakhouse,556a379ea7c8957d73d539c1
Long John Silver's,5568f210a7c8a9cf8ec4434c
LongHorn Steakhouse,556ce747aceaff43eb05689e
Louis Vuitton,556ce4d6aceaff43eb05085e
Love's Travel Stops,556c9aeba7c87f637869ce12
Lowe's,556e119fa7c82e6b725012ec
Luby's,556f43bdbd6a007c7738aab6
Lucky Brand,556c9767a7c8a11a36bdf57c
lululemon athletica,556cdebdaceaff43eb0413f0
Lumber Liquidators,556ce0d4aceaff43eb0463e8
LUSH,556a4162a7c8957d73d5e49d
M&T Bank,5643a608498e5a40b9b157d7
MAC,5568f61ba7c8a9cf8ec4ce6b
Mack-Cali Realty Corporation,556c8c25a7c8a11a36bca5cc
Macy's,556d0a3aaceaff43eb082e54
Madewell,556a2130a7c8957d73d2a0dd
Maggie Moo's,556f4374bd6a007c77389c57
Manhattan Bagel,556f4350bd6a007c773894a4
MAPCO Mart,556cdd65aceaff43eb03dddd
Marble Slab,556ca0b7a7c87f63786a354f
Marine Corps,556e092ea7c82e6b724ee2ed
Marriott Hotels,556a2d9ea7c8957d73d40533
Marshalls,556d1777aceaff43eb09d1f2
Massage Envy,5569f96da7c8896abe7d2324
Massage Heights,556a2d9ea7c8957d73d40526
Mattress Firm,556d0479aceaff43eb07b079
Maurices,556d1612aceaff43eb0990c7
Maverik Inc.,556ca0b7a7c87f63786a354b
Mavis Discount Tire / Cole Muffler Brake,556a3adba7c8957d73d56f2b
Mazda,5569f132a7c8896abe7c173a
McAlister's Deli,5569f17ea7c8896abe7c20f5
McDonald's,556f7a12bd6a75a9903bddb2
Medi-Weightloss,556f4508bd6a007c7738dddf
MedPro Connect,556e1d0ca7c82e6b7251e0b6
Meijer,556c8b0ca7c8a11a36bc8626
Mellow Mushroom,556f3b98bd6a8104863bdb8b
Men's Wearhouse,556d0a3aaceaff43eb082e56
Men's Wearhouse Tux,556ca462a7c87f63786aa4de
Menards,57470ea9498e930c71fd75f5
Menchie's,5568ecd5a7c8a9cf8ec39428
Menchie's Frozen Yogurt,556e4ebebd6a82902e27f558
Mercedes-Benz,556c94faa7c8a11a36bdab02
Merchant's Tire,556a337ba7c8957d73d4b6ac
Meritage Homes,556a4ca4a7c8957d73d6a0ff
MetroPCS,5568eec8a7c8a9cf8ec3d5fc
MetroPCS,556e563fbd6a82902e289f7d
Michael Kors,556a4e08a7c8957d73d6ce52
Michaels,556df7e1a7c82e6b724d8231
Microsoft Store,556a302da7c8957d73d45119
Microtel,5568ed80a7c8a9cf8ec3acbb
Midas,556dfa53a7c82e6b724de095
Mimi's Cafe,556a3474a7c8957d73d4d45d
MinuteClinic,556d1457aceaff43eb094f79
Miracle-Ear,556d1eaeaceaff43eb0aea62
Mister Car Wash,556a3656a7c8957d73d50fe8
Mitsubishi Motors,58dd2d97373181375ce0320d
Mobil,5591f502498e0605d742144d
MOD Pizza,5568f410a7c8a9cf8ec481de
Modell's Sporting Goods,556a37eca7c8957d73d54458
Moe's Southwest Grill,556cff64aceaff43eb070c5a
Monarch Dental,556a321ca7c8957d73d49065
Money Mart,556d0597aceaff43eb07e191
MoneyGram,556e2b60a7c82e6b7253b217
Monro Muffler Brake & Service,556cfa63aceaff43eb063e0a
Motel 6,556f3bd2bd6a8104863be45e
Mountain Mikes,556a3656a7c8957d73d50fe6
Mr. Tire Auto Service Centers,556c94faa7c8a11a36bdaafc
MTA Subway,56ce1f68498ee907d9ec0318
MurphyUSA,556dfa53a7c82e6b724de09d
Music & Arts,556a3474a7c8957d73d4d465
Mybullfrog.com - Verizon Wireless Premium Retailer,556a2f99a7c8957d73d43f34
NAIL SPA,556e517ebd6a82902e281eb8
NAPA Auto Parts,556e513fbd6a82902e2819b7
Nathan's Famous,556f3bd9bd6a8104863be5a1
National Car Rental,556d0479aceaff43eb07b07e
Nationwide,556e3827bd6a82902e253a7b
Natural Grocers,556a242fa7c8957d73d2fc7b
Navy Federal,556c8e00a7c8a11a36bcd549
NC State,556a4e81a7c8957d73d6dd58
Neebo,556c9c7ca7c87f637869f5c3
New York & Company,556cfd40aceaff43eb06ba6b
New York Public Library,556f4374bd6a007c77389c53
New York Sports Club,55946538498e6a0fd536ca20
Nike,556a22a9a7c8957d73d2c9ee
Nine West,556c8cb7a7c8a11a36bcb5b5
Nine West Outlet,55c15cbc498e2a4c86c98c68
Ninety Nine Restaurant,556a2ef7a7c8957d73d42eb8
Nissan,5569f812a7c8896abe7cf419
NJ Transit,556a41d7a7c8957d73d5f17c
Noodles & Company,556a004fa7c8896abe7df6c7
Nordstrom,556cfa63aceaff43eb063e0d
Nordstrom Rack,55c15ff7498e2a4c86c9c054
NorthwestSavingsBank,556a47dba7c8957d73d64d12
NTB National Tire & Battery,556ce8d9aceaff43eb0588d3
NYC DOT,556a2f99a7c8957d73d43f24
NYC Parks,556df7e1a7c82e6b724d822e
NYCHA,556ce188aceaff43eb047f79
NYU,556c9290a7c8a11a36bd78ac
O'Charley's Restaurant + Bar,556c90eba7c8a11a36bd2b56
O'Reilly Auto Parts,556e2b60a7c82e6b7253b214
Office Depot,556de8c8a7c82f0fe987b2c4
OfficeMax,556d1777aceaff43eb09d1ed
officialfye,556cdd65aceaff43eb03dde5
Old Chicago,556f4530bd6a007c7738e4dc
Old Navy,556d1d36aceaff43eb0a9e60
Olive Garden,556d1777aceaff43eb09d1f1
Ollie's Bargain Outlet,585459f6fc8d5952b8207dec
Olympia Sports,58cc054bb50d52294bde4212
Omni Hotels & Resorts,556a35b9a7c8957d73d4fb0b
On The Border Mexican Grill & Cantina,556a37eca7c8957d73d5444f
Once Upon A Child,556e4eb2bd6a82902e27f446
Orange Julius,556d1457aceaff43eb094f69
Orange Leaf Frozen Yogurt,556f4182bd6a007c7738630f
Orchard Supply Hardware,556f43a2bd6a007c7738a3bd
Outback Steakhouse,556d0ef4aceaff43eb087d95
P.F. Chang's,556c8b0ca7c8a11a36bc8623
PA Wine & Spirits,556cff64aceaff43eb070c5c
Pacific Pride,556e2b60a7c82e6b7253b21d
PacSun,556d0fe9aceaff43eb08b7cd
Paint Nite,556d1777aceaff43eb09d1e3
Painting with a Twist,556a240fa7c8957d73d2f788
Pak Mail Centers of America,556a4d8aa7c8957d73d6bf6f
Palm Beach Tan,556ce747aceaff43eb05689d
Panda Express,556e5676bd6a82902e28a729
Pandora,5568ef06a7c8a9cf8ec3ddba
Panera Bread,556e0f6fa7c82e6b724f8c8a
Papa Gino's,556a462fa7c8957d73d6250d
Papa John's Pizza,556e23e9a7c82e6b7252ce9f
Papa Murphy's,556e4eaebd6a82902e27f3e7
Parkview Health,556a286da7c8957d73d360d4
Party City,556d1914aceaff43eb0a1236
Pathmark,556a3076a7c8957d73d459bc
Paychex,556a3897a7c8957d73d5597a
Payless Car Rental,556a2453a7c8957d73d301a2
Payless ShoeSource,556e2b60a7c82e6b7253b21b
Pearle Vision,556cfd40aceaff43eb06ba69
Peebles,556c8d37a7c8a11a36bcc577
Peet's Coffee & Tea,556c8e8fa7c8a11a36bce719
Pei Wei,556a4935a7c8957d73d676bf
Penn State,556ce010aceaff43eb04490f
Penn Station East Coast Subs,556c8fa2a7c8a11a36bd0999
Penske Truck Rental,556e1846a7c82e6b72513d5a
Pep Boys Auto,556d12d9aceaff43eb090ce0
PepsiCo Dream Machine,556cfe41aceaff43eb06e343
Performance Bicycle,556a3076a7c8957d73d459ca
Perfumania,556cdd65aceaff43eb03ddd8
Perkins Restaurant and Bakery,563e98e4498eb80953b13f32
Pet Supplies Plus,556f3b53bd6a8104863bcf5a
Pet Valu,556a47dba7c8957d73d64d16
Petco,556dfce1a7c82e6b724e4091
Peter Piper Pizza,5569f2b8a7c8896abe7c4528
PetSmart,556dfa53a7c82e6b724de09a
Phi Delta Theta,556a2e68a7c8957d73d41ddb
Phillips 66,556e4ed4bd6a82902e27f712
Philly Pretzel Factory,556a3122a7c8957d73d46ba6
Pick Up Stix,556a2c20a7c8957d73d3d56a
Picture People,556a419ea7c8957d73d5e4ad
Piedmont Healthcare,556f4423bd6a007c7738b954
Pier 1 Imports,556de729a7c82f0fe9875f3b
Piercing Pagoda,556d0353aceaff43eb077eff
Pilot Travel Centers,556cfc3faceaff43eb0690b9
Pinch A Penny Swimming Pool Supplies,556c9327a7c8a11a36bd91de
Pinkberry,556a4310a7c8957d73d604b3
Pita Pit,556a34ffa7c8957d73d4e7c4
Pizza Hut,556f5631bd6a75a99036aba1
Pizza Inn,556a462fa7c8957d73d6250a
Pizza Patron,556e5970bd6a82902e290a63
Pizza Plus,5568eed2a7c8a9cf8ec3d70e
Pizza Ranch,556e5a51bd6a82902e292d93
Planet Fitness,556d0900aceaff43eb07f9d2
Planet Smoothie,556a2e21a7c8957d73d41548
Planned Parenthood,556d0ef4aceaff43eb087d8f
Plato's Closet,556f3b98bd6a8104863bdb87
Platt Electric,556a33d1a7c8957d73d4c130
Play It Again Sports,556e5b53bd6a82902e2957d6
PLS Loans,57eeb04d498edb2b257c2f69
PNC Bank,556e3827bd6a82902e253a7d
PNC Mortgage Bank,558dbc0bcd6abd4ba66f705d
Pollo Tropical,556a3897a7c8957d73d55978
POLO - Ralph Lauren Factory Store,58c8090645005e3bed00169a
Ponderosa Steakhouse,556a2ddaa7c8957d73d40d73
Popeyes Louisiana Kitchen,561e8768498ea6bc69a4a287
Porsche,556a469da7c8957d73d63250
PostalAnnex+,556a469da7c8957d73d6324c
PostNet,556ca462a7c87f63786aa4d0
Potbelly Sandwich Shop,556cdf5baceaff43eb042e00
Precision Tune Auto Care,556ca0b7a7c87f63786a354d
Pretzelmaker,556ca508a7c87f63786abbcf
Price Chopper,556a3656a7c8957d73d50fee
Primrose Schools,556ca38ba7c87f63786a8dee
Progressive,556d0a3aaceaff43eb082e4e
Public Storage,556e146fa7c82e6b725097db
Publix,556deb32a7c82f0fe9880796
PUMA,556ce426aceaff43eb04e8a2
Pump It Up,556a4027a7c8957d73d5d24a
Qdoba Mexican Grill,556d0a3aaceaff43eb082e5c
Quality Inn,5569eef1a7c8896abe7bd7af
Quality Inn & Suites,556e5c12bd6a82902e29688a
Quest Diagnostics,5665d19e60b2cc5383d38d2e
QuickChek,556f431fbd6a007c77388d9e
QuikTrip,556d110aaceaff43eb08f06b
Quiznos,556e0bfaa7c82e6b724f552d
Rabobank California,556a33d1a7c8957d73d4c128
RaceTrac,556a3897a7c8957d73d55984
Rack Room Shoes,584703f579dbf242df52763a
RadioShack,556e3827bd6a82902e253a77
Radisson,556a4162a7c8957d73d5e49f
Rainbow Shops,556d1b42aceaff43eb0a5301
Raising Cane's,556a3e88a7c8957d73d5a80b
Raley's Family of Fine Stores,556a35b9a7c8957d73d4fb05
Rally's,563d00d8498e10d254e30f62
Ralph Lauren,556c9b97a7c87f637869e19b
Ralphs,556c9628a7c8a11a36bdd0b7
Ramada,55693a7facea5b47744bc7ff
Raymour and Flanigan,556a2f99a7c8957d73d43f32
Record Nations,556d01cdaceaff43eb076862
Red Lobster,556d0fe9aceaff43eb08b7c1
Red Mango,556c96cda7c8a11a36bde318
Red Robin Gourmet Burgers,556cfe41aceaff43eb06e33f
Red Roof Inn,556ce010aceaff43eb044911
Redbox,556a00d1a7c8896abe7dfb2b
Regal Cinemas,556d0353aceaff43eb077f07
Regions Bank,556e119fa7c82e6b725012e2
REI,556a36a5a7c8957d73d51a6a
replanet recycling center,556a337ba7c8957d73d4b6aa
Republican National Committee,556c98d5a7c87f63786991d7
Restoration Hardware,58545ab5fc8d5952b820a83c
Retro Fitness,556a29ada7c8957d73d38580
Ripple Glass Bin,556a45bfa7c8957d73d617de
Rite Aid,556e40c7bd6a82902e2671d3
Ritz Camera & Image,556a470ba7c8957d73d63fc8
Robeks Fresh Juices & Smoothies,556f4508bd6a007c7738ddd1
Robert Johnson,556cfc3faceaff43eb0690b7
Rodeway Inn,5568eadba7c8a9cf8ec377f7
Romano's Macaroni Grill,556a47dba7c8957d73d64d0c
Rooms To Go,556c9038a7c8a11a36bd1a8a
Rosati's Pizza,556a3076a7c8957d73d459bd
Roseville Parks & Recreation,556a2f2ea7c8957d73d436ed
Ross Dress for Less,556dfa53a7c82e6b724de098
Round Table Pizza,5569fd2ea7c8896abe7d9d0f
Royal Farms,556a47dba7c8957d73d64d0a
Rubio's,556a4ca4a7c8957d73d6a107
Ruby Tuesday,556d0ef4aceaff43eb087d93
rue21,556cfc3faceaff43eb0690af
Ruth's Chris,556a29ada7c8957d73d38570
Safelite AutoGlass,556cfe41aceaff43eb06e345
Safeway,556d1eaeaceaff43eb0aea65
Sal's Pizza,5569f52ba7c8896abe7c93d2
Saladworks,556a2ddaa7c8957d73d40d6d
SalonCentric,57d9aeca498e665da64f065d
Sam's Club,556d0353aceaff43eb077f03
SAMPLEit,556a2eada7c8957d73d42637
San Diego Zoo,5569fef6a7c8896abe7dccb4
SATRUCK Family Stores Central USA,556a47dba7c8957d73d64d14
Save A Lot,556e58dbbd6a82902e28f2f9
Save Mart,556c8e00a7c8a11a36bcd54f
Save-A-Lot food stores,556d1d36aceaff43eb0a9e5e
Sbarro,556cfb16aceaff43eb066784
Schlotzsky's,556ce426aceaff43eb04e8a8
Schnucks,556a2d7aa7c8957d73d3fd28
Scion Dealerships,568c4f8e498ec8e3dff565dd
Scottrade,556d0479aceaff43eb07b084
ScrubsAndBeyond,556a3b40a7c8957d73d57a5f
Sears,556d1777aceaff43eb09d1ef
Sears Auto Center,556d0fe9aceaff43eb08b7c3
Sears Home Appliance Showroom,556a2fdca7c8957d73d447d5
Sears Hometown Store,556d1d36aceaff43eb0a9e5c
Sears Optical,563a4afa498e9cc40000c7be
Sears Outlet,556a3e88a7c8957d73d5a813
SeaWorld Parks & Entertainment,5568f746a7c8a9cf8ec4e251
SecurCare Self Storage,556a373fa7c8957d73d52f41
See's Candies,556ca00ca7c87f63786a2028
Sephora,556c9aeba7c87f637869ce16
Service King Collision Repair,556a4d09a7c8957d73d6afb3
Shaw's,556a41d7a7c8957d73d5f17a
Sheetz,556cec3daceaff43eb0619f6
Shell,556f7a12bd6a75a9903bddb6
Shelli Dupuis,556f44b6bd6a007c7738cefa
Sheraton,5569f692a7c8896abe7cc344
Sherwin-Williams,556e2b60a7c82e6b7253b219
Shipley Donuts,5568f774a7c8a9cf8ec4e9b6
Shoe Carnival,58545b4679dbf25654a7e8f9
SHOE DEPT.,556cfa63aceaff43eb063e11
SHOE DEPT. ENCORE,556a2f99a7c8957d73d43f2c
SHOE SHOW,556ce4d6aceaff43eb050860
Shoney's,556a3e88a7c8957d73d5a80d
Shopko,556ce335aceaff43eb04ce6b
ShopRite,556a4d09a7c8957d73d6afa5
Shred Nations,556d1b42aceaff43eb0a52f9
Sigma Chi Fraternity,556a4c25a7c8957d73d699ff
Signarama,556a379ea7c8957d73d539c2
Signs By Tomorrow,556a316ba7c8957d73d47516
Simon Malls,58530ce3fc8d5951b9bf16c7
Simply Fashion,556ce228aceaff43eb049a03
Sizzler,559b1506498ee588571db91f
SKECHERS USA,556ce5abaceaff43eb0528b4
Skyline Chili,556a3474a7c8957d73d4d45f
Sleep Inn & Suites,556e53c4bd6a82902e284edf
Sleep Number,556ce747aceaff43eb0568a1
Sleepys The Mattress Professionals,556d1777aceaff43eb09d1f5
Smart & Final,556c8e00a7c8a11a36bcd555
SmartStop Self Storage,556a36eba7c8957d73d524d8
Smashburger,556a2bf9a7c8957d73d3cf36
Smith's,556a36a5a7c8957d73d51a70
Smoothie King,556d0479aceaff43eb07b073
Snap Fitness,5568ecb3a7c8a9cf8ec391e9
Solstice Sunglass Boutique,556a3ee3a7c8957d73d5b3b3
Sonic Automotive,556a31e2a7c8957d73d48748
Sonic Drive-In,556e2b60a7c82e6b7253b20b
Sonny's BBQ,556a31e2a7c8957d73d4874c
Sonus Hearing,556a3656a7c8957d73d50fea
Speedway,556e092ea7c82e6b724ee2f3
Speedway,556d1612aceaff43eb0990c4
Speedy Cash,556a2b6ca7c8957d73d3bc16
Speedy Stop,556a3fc8a7c8957d73d5c5ee
Sport Clips,556e5897bd6a82902e28e889
Sports Authority,556cfa63aceaff43eb063dff
SpringHill Suites,556e5513bd6a82902e2875b7
Sprint,556de8c8a7c82f0fe987b2c2
Sprouts Farmers Market,563bdebe498ed361ff5315a1
Stage Stores,556a3897a7c8957d73d5597e
stanley steemer,556e55d9bd6a82902e2890e1
Staples,556e1846a7c82e6b72513d59
Starbucks,556f676fbd6a75a99038d8ec
Stater Bros.,556a469da7c8957d73d63254
Station Casinos,556a3291a7c8957d73d49955
Staybridge Suites,556c8f10a7c8a11a36bcf8a8
STDTestExpress,556de8c8a7c82f0fe987b2c5
Steak 'n Shake,556cfe41aceaff43eb06e33d
Stein Mart,556c9c7ca7c87f637869f5bf
Stewart's Shops,556ce228aceaff43eb049a13
Stop & Shop,57471a0b498e6f9eafbcc874
StorageMart,556a384aa7c8957d73d54f05
Stripes Convenience Stores,556cfe41aceaff43eb06e339
STS Tire & Auto,556a3f61a7c8957d73d5b996
Studio 6,574709a6498e964e62174e55
Styles For Less,556a3e1ca7c8957d73d59c71
Subaru,5568ee9ea7c8a9cf8ec3d083
Subway,556e0bfaa7c82e6b724f552f
Sullivan Tire,556a2a78a7c8957d73d39dcb
Summit Medical Group,556ce9b1aceaff43eb05acbb
Sun Tan City,556a33d1a7c8957d73d4c134
Sunglass Hut,556e119fa7c82e6b725012e6
Sunoco,564217fa498e0b46fe8339ef
Sunrise Senior Lvg,556cfb16aceaff43eb066780
SunTrust Bank,563e96f6498ef5e9422f13e9
Super 8,5568eca2a7c8a9cf8ec38c9e
Supercuts,556e119fa7c82e6b725012e0
Susquehanna Bank,556e4edfbd6a82902e27f7fe
Swarovski,556d1d36aceaff43eb0a9e6a
Sweet Frog,556e5e64bd6a82902e29c17f
T-Mobile,556e23e9a7c82e6b7252cea1
T.G.I. Friday's,556cfa63aceaff43eb063e0f
T.J.Maxx,556de729a7c82f0fe9875f41
Taco Bell,556f46f6bd6a007c77390fac
Taco Bueno,556a4845a7c8957d73d65a4b
Taco Cabana,556a437ea7c8957d73d6118f
Taco John's,556ce673aceaff43eb054903
Taco Time,556a28f8a7c8957d73d37322
Take 5 Oil Change,5569f429a7c8896abe7c792c
Talbots,58f7be028c35dc322babaf90
Target,556e119fa7c82e6b725012dd
Target Pharmacy,56421f06498e4bfca5320613
TCBY,556e5ca2bd6a82902e297fa3
TD Bank,556deb32a7c82f0fe988078e
TEAVANA,556cde1baceaff43eb03f965
Tedeschi Food Shops,556a4e08a7c8957d73d6ce58
Texaco,556e146fa7c82e6b725097df
Texas Oncology,556a3291a7c8957d73d49953
Texas Roadhouse,556ce426aceaff43eb04e8ac
TH,556ce673aceaff43eb054901
The Art of Shaving,556a2563a7c8957d73d32640
The Body Shop,556a2bc1a7c8957d73d3c8f5
The Bozzuto Group,556ca38ba7c87f63786a8de8
The Cheesecake Factory,556a4b41a7c8957d73d67d96
The Children's Place,556d1d36aceaff43eb0a9e6e
The Church of Jesus Christ of Latter-day Saints,556f5631bd6a75a99036ab9c
The Coffee Bean & Tea Leaf,556a4e08a7c8957d73d6ce60
The Habit Burger Grill,556a341fa7c8957d73d4cad4
The Home Depot,556e146fa7c82e6b725097d7
The Limited,556c9b97a7c87f637869e193
The Lounge,556ceb48aceaff43eb05f631
The Melting Pot,556a3540a7c8957d73d4f168
The Salvation Army - AOK Division,5569f861a7c8896abe7cfed8
The Smile Generationå¨-trusted Dental Offices,556ceb48aceaff43eb05f633
The UPS Store,556e40c7bd6a82902e2671d1
The Vitamin Shoppe,556d009faceaff43eb073abd
Things Remembered,556d0353aceaff43eb077efd
Thorntonsinc,556a42bba7c8957d73d5f7fe
Thrifty Car Rental,556e5b55bd6a82902e295843
Tiffany & Co,556c8b0ca7c8a11a36bc8621
Tijuana Flats,556a31e2a7c8957d73d48742
Tilly's,556a4027a7c8957d73d5d24c
Tilted Kilt Pub & Eatery,556f44debd6a007c7738d669
Tim Hortons,5569fcd1a7c8896abe7d9105
Tire Kingdom,556a4d8aa7c8957d73d6bf71
Tires Plus,556a410ca7c8957d73d5d849
Togo's Sandwiches,556ca00ca7c87f63786a2022
Tom Thumb C-Stores,556a31e2a7c8957d73d48750
Tom Withem,556ca508a7c87f63786abbdf
Tommy Bahama,556a3540a7c8957d73d4f166
Tommy Hilfiger,556c9b97a7c87f637869e199
Tops Friendly Markets,562112d8498e0ecfc064e104
Torrid,556c9f5ca7c87f63786a0b01
Total Wine,556a319ea7c8957d73d47e1d
"Town Pump, Inc",556c8e8fa7c8a11a36bce717
TownePlace Suites,573e0d7b498e05adf08f59e8
Toyota,561ff01b498e8b23a9c5b4f9
"ToysR""Us""",556d1612aceaff43eb0990d2
Tractor Supply Co.,5734ff1e498e4225c64bcd86
Trader Joe's,556ceb48aceaff43eb05f62d
TravelCenters of America,556a45bfa7c8957d73d617e4
Travelex Currency Services,556a3adba7c8957d73d56f31
Travelodge,556e53b2bd6a82902e284bcf
Tropical Smoothie Cafe,556ca462a7c87f63786aa4e0
True Religion,556a4d09a7c8957d73d6afb1
True Value,556e3827bd6a82902e253a7f
Tuesday Morning,556d12d9aceaff43eb090cd6
Turkey Hill Stores,556c9f5ca7c87f63786a0b07
Twice the Ice,556e1d0ca7c82e6b7251e0ba
U-Haul,564a03a1498e6380be261d0c
U-Save Car & Truck Rental,556a469da7c8957d73d63256
U.S. Bank,556e23e9a7c82e6b7252ce9d
U.S. Bank ATM,56042b74498e675658bb467b
U.S. Cellular,556ca2e1a7c87f63786a7752
uBreakiFix,556a2d35a7c8957d73d3f51a
UCLA,556a331ea7c8957d73d4ad10
UDR Apartments,556a4845a7c8957d73d65a43
ULTA Beauty,556d1777aceaff43eb09d1e4
Umpqua Bank,556a4e81a7c8957d73d6dd48
Uncle Bob's Self Storage,556cec3daceaff43eb0619f8
Under Armour,556e51f3bd6a82902e28277b
United,556a37eca7c8957d73d5445b
University of Phoenix,556c96cda7c8a11a36bde31c
University of Pittsburgh Medical Center,556ca462a7c87f63786aa4d2
UnivMiami,556a341fa7c8957d73d4cad0
Unleashed by Petco,556a2e68a7c8957d73d41ded
Uno Pizzeria & Grill,556a3adba7c8957d73d56f2c
Urban Outfitters,556c8cb7a7c8a11a36bcb5b3
US Post Office,556f676fbd6a75a99038d8e8
UW-Madison,556ca00ca7c87f63786a2024
Vacasa - vacation rentals made easy,556d0a3aaceaff43eb082e4a
Valero,564256c7498ebbd4c62f4786
Value City Furniture,556a31e2a7c8957d73d48740
Valvoline Instant Oil Change,556d1b42aceaff43eb0a52fb
Van Heusen Outlets,556a4d8aa7c8957d73d6bf65
Vanity / eVanity.com,556a4935a7c8957d73d676bb
Vans,5665d3be60b2cc5383d6aa20
VCU,556a4845a7c8957d73d65a47
Verizon,556e5f97bd6a82902e29dac8
Verizon Wireless,556e0f6fa7c82e6b724f8c86
Victoria's Secret,556de729a7c82f0fe9875f3c
Victoria's Secret PINK,556de8c8a7c82f0fe987b2ca
Village Green,556a3c03a7c8957d73d59123
VIP PetCare,556c9585a7c8a11a36bdbd75
Virginia Tech,556a379ea7c8957d73d539cf
Virtua,556a3540a7c8957d73d4f15e
Vitamin World,556cec3daceaff43eb0619ec
vitaminwaterå¨,556f42fcbd6a007c77388671
Volkswagen,556a36a5a7c8957d73d51a7c
Volvo,556c9f5ca7c87f63786a0aff
Vons,556c9b97a7c87f637869e1a1
VyStar Credit Union,556a2e21a7c8957d73d41550
Waffle House,556e0f6fa7c82e6b724f8c7e
Walgreens,556f5631bd6a75a99036ab99
Walmart,556f676fbd6a75a99038d8e6
Walmart Neighborhood Market,563a967e498e432feae78c3d
Walmart Pharmacy,5642390a498e1a3c5b6ea23f
Washington Federal,556c9585a7c8a11a36bdbd7e
Washington State Parks,556a3b40a7c8957d73d57a61
Wawa,556d0353aceaff43eb077f05
websterbank,556a4bb0a7c8957d73d68bbc
Wegmans Food Markets,556a2b1ea7c8957d73d3b003
Weight Watchers,5900a4d306fb602077776630
Weis Markets,556f4482bd6a007c7738c7b8
Wells Fargo,56255b92498e2de0a9b86312
Wendy's,556f46f6bd6a007c77390fa9
West Marine,556e5f8dbd6a82902e29d8f1
Western Dental,556a4bb0a7c8957d73d68bc6
Western National Property Management,556a2e68a7c8957d73d41ddd
Westin Hotels & Resorts,556e5c4fbd6a82902e29721f
Whataburger,556e5d9bbd6a82902e299f4e
Which Wich Superior Sandwiches,556c9628a7c8a11a36bdd0b1
White Cap,556a35b9a7c8957d73d4fb0d
White Castle,556ce5abaceaff43eb0528b0
Whole Foods Market,556cdf5baceaff43eb042df6
Wienerschnitzel,556a24f6a7c8957d73d316eb
WilcoHess,556cde1baceaff43eb03f96b
Willamette Dental Group,5569fbcba7c8896abe7d7049
William & Mary,556a4ca4a7c8957d73d6a0f9
Williams-Sonoma,556c9767a7c8a11a36bdf572
Wilsons Leather,556a384aa7c8957d73d54eff
WinCo Foods,5569f5d2a7c8896abe7ca9fb
Wingate by Wyndham,5569f021a7c8896abe7bfc44
Wingstop,556d12d9aceaff43eb090ce2
Winn-Dixie,556ce9b1aceaff43eb05acb9
Wireless Stores,5569edc5a7c8896abe7bb913
Wireless Zone,556ce673aceaff43eb0548fb
WKU,556a2f2ea7c8957d73d436e5
Wyndham,55693a01acea5b47744bba9a
XFINITY by Comcast,588f6f98fc8d593c745ee258
Yankee Candle Co,556f44b6bd6a007c7738cef8
YMCA,5568f419a7c8a9cf8ec4837e
Yogurtland,563bce2d60b2c3190310fa4c
Youfit Health Clubs,556a2f2ea7c8957d73d436e1
YourCommissary,556c96cda7c8a11a36bde30c
Z Wireless - Verizon Wireless,556c9aeba7c87f637869ce18
Zales,556d0ef4aceaff43eb087d8c
Zara,5634306a498e88a390fec88a
Zaxby's,556d0a3aaceaff43eb082e4b
Zions Bank,556a3e88a7c8957d73d5a80f
Zipcar,556e146fa7c82e6b725097d3
ZoÌÇs Kitchen,556f45f6bd6a007c773901bd
Zumiez,556cfe41aceaff43eb06e338
