chainname,chainid
Bojangles' Famous Chicken 'n Biscuits,556ca38ba7c87f63786a8df4
Bonefish Grill,556c8cb7a7c8a11a36bcb5bb
Boost Mobile,556e59d2bd6a82902e2919c9
Boot Barn,556a3fc8a7c8957d73d5c5f6
Bose,556c8e8fa7c8a11a36bce715
Boston Market,556cec3daceaff43eb0619fc
BP,556f5631bd6a75a99036ab9a
Bright Now! Dental,556a3ee3a7c8957d73d5b3b5
BrightStar Care,556a35fda7c8957d73d50587
Brookdale Senior Living,556cfd40aceaff43eb06ba6c
Brooks Brothers,556ca00ca7c87f63786a201c
Brookshire's,556a36eba7c8957d73d524d0
Brookstone,556ca2e1a7c87f63786a775a
Bruegger's,556ca0b7a7c87f63786a3547
Buca di Beppo,556f444cbd6a007c7738c075
Buddy's Home Furnishings,556a379ea7c8957d73d539c5
Budget Car Rental,556e1846a7c82e6b72513d65
Budget Truck,556dfa53a7c82e6b724de0a4
Buffalo Wild Wings,556d1d36aceaff43eb0a9e66
Buffet Locations,556cde1baceaff43eb03f973
Buick,57bf2405498e4bed417b0805
Build-A-Bear Workshop,556ce188aceaff43eb047f7f
Burberry,556c9585a7c8a11a36bdbd78
Burger King,556d12d9aceaff43eb090cdb
burialplanning.com,556c9990a7c87f637869a607
Burlington Coat Factory,556cfb16aceaff43eb066782
C-Town Supermarkets,556a373fa7c8957d73d52f47
Cadillac,57be520c498e5fb8c949f030
Cafe Bistro,5637f99d498e8ab48df59b03
Cal,556a42bba7c8957d73d5f806
Calendar Club & Go! Games,556cfe41aceaff43eb06e347
Caliber Collision,5568f575a7c8a9cf8ec4b66a
California Pizza Kitchen,556c8cb7a7c8a11a36bcb5b9
California State Parks,556a4e08a7c8957d73d6ce54
Calvary Baptist Church,5568ed47a7c8a9cf8ec3a4e1
Calvin Klein,556f44debd6a007c7738d65f
Camp Invention,556c9585a7c8a11a36bdbd80
Candlewood Suites,556ce2a7aceaff43eb04b48a
Capital Bank,556e5f9fbd6a82902e29dbff
Capital One Bank,5569fdf3a7c8896abe7dae1c
Captain D's Seafood Kitchen,573cc310498e828d01c9553e
CAR X,556a4310a7c8957d73d604ba
Caribou Coffee,556ce673aceaff43eb054905
Carl's Jr.,556d1612aceaff43eb0990d0
Carls/GRN Burrito,556a3897a7c8957d73d55976
CarMax,556a48c3a7c8957d73d66802
Carmike,588239ad79dbf259b78d2d28
Carpet One,556ce8d9aceaff43eb0588ce
CARQUEST Auto Parts,556e23e9a7c82e6b7252cea9
Carrabba's,556c9767a7c8a11a36bdf56d
Carstar Account,556c94faa7c8a11a36bdab00
Carter Lumber,556a384aa7c8957d73d54f11
Carter's,556a3474a7c8957d73d4d467
Carters OshKosh,556d0479aceaff43eb07b081
Cartridge World USA,556cfc3faceaff43eb0690b1
Carvel Ice Cream,556ce426aceaff43eb04e8b0
Casey's General Store,556e0f6fa7c82e6b724f8c80
Cash America,556cfe41aceaff43eb06e349
Cash Store,556ce2a7aceaff43eb04b496
Cashland,556a36eba7c8957d73d524d4
Castrol Premium Lube Express,556a379ea7c8957d73d539d3
Casual MaleXL,556ce228aceaff43eb049a05
Catherine's,556cec3daceaff43eb0619fa
Cato Fashions,5854596079dbf25654a784cf
Central Parking,556a2ef7a7c8957d73d42eae
Century Apartments,556a3f61a7c8957d73d5b994
CFLane,556a469da7c8957d73d6324e
Champs Sports,556cfc3faceaff43eb0690bf
CHANEL,556ca152a7c87f63786a4a26
Charley's Grilled Subs,5568f61ba7c8a9cf8ec4ce67
Charlotte Russe,556cfc3faceaff43eb0690bd
Charming Charlie,556a4027a7c8957d73d5d252
Chase ATM,56043d42498ed9eb4df8d914
Chase Bank,556f46f6bd6a007c77390fa8
Check Into Cash,556de8c8a7c82f0fe987b2c0
Checkers,556d0ef4aceaff43eb087d91
Cheddar's Casual Cafe,563bd995498eeb86d4b61b75
CherryBerry Yogurt Bar,556a4845a7c8957d73d65a48
Chevrolet,556f3bcabd6a8104863be2ee
Chevron,556f46f6bd6a007c77390fae
Chicago Parks,556cff64aceaff43eb070c64
Chick-fil-A,556e1846a7c82e6b72513d6b
Chili's Grill & Bar,556df7e1a7c82e6b724d8229
Chipotle Mexican Grill,556e0f6fa7c82e6b724f8c82
Chrysler,57c46828498e55a8ecda6ffc
Chuck E. Cheese's,556cfb16aceaff43eb06678a
Church's Chicken,556d1b42aceaff43eb0a52f3
CiCi's Pizza,5568efc1a7c8a9cf8ec3f79e
Cinemark,556c9990a7c87f637869a5fb
Cinnabon,556ce673aceaff43eb054909
Circle K,556d1914aceaff43eb0a123a
CItgo (BVK),556ce2a7aceaff43eb04b494
Citi Bike,556ce010aceaff43eb044913
Citibank,556dfce1a7c82e6b724e4092
Citizens Bank,589100dafc8d5966c51131de
City Electric Supply,556ce188aceaff43eb047f85
CityofSavannah,556a3b9ea7c8957d73d585b9
Claire's,556a3fc8a7c8957d73d5c5f9
Clarion,556e583bbd6a82902e28ddf5
Clarks,5665ced060b2cc5383ced51b
Clarks Bostonian Outlet,5665d37760b2cc5383d678f7
Clayton Homes,556c9c7ca7c87f637869f5c9
Coach,556ce2a7aceaff43eb04b488
Coach Factory Outlet,58fe0cdb16fa0436d0f7e730
Coast Dental,556a3474a7c8957d73d4d463
Coinstar,556f7a12bd6a75a9903bddb0
Cold Stone Creamery,5569f17ea7c8896abe7c20ec
College Hunks Hauling Junk & Moving,5569fc05a7c8896abe7d7888
Comfort Inn,556a259ba7c8957d73d32b44
Comfort Suites,556e58fdbd6a82902e28f8a0
Community Health Systems,5890df9b79dbf22b9ee528a3
Conn's HomePlus,556a2c9ca7c8957d73d3e6e2
Consulate Health Care,556c8c25a7c8a11a36bca5ca
Copart,556a469da7c8957d73d63258
CorePower Yoga,5569f7fba7c8896abe7cf08b
Corner Bakery Cafe,556a462fa7c8957d73d62519
Corner Store,556d1b42aceaff43eb0a5302
Cosi,556a2f2ea7c8957d73d436ef
Cost Plus World Market,556ca00ca7c87f63786a2020
Costco,556a3897a7c8957d73d55980
Country Inn and Suites By Carlson,556cec3daceaff43eb0619ed
Courtyard by Marriott,556e554cbd6a82902e287cd0
Cousins Subs,556a337ba7c8957d73d4b6b2
Cox,556c8ba0a7c8a11a36bc9617
CPR Cell Phone Repair Corporate,556a2307a7c8957d73d2d3f3
Cracker Barrel,556d0353aceaff43eb077ef8
Crate and Barrel,5820ccc8fc8d5960c4281658
Crazy 8,556ca508a7c87f63786abbd0
CreativePHL,556d1b42aceaff43eb0a52f7
Cricket Wireless,556e1d0ca7c82e6b7251e0b2
Crocs,556939d4acea5b47744bb8b3
Crowne Plaza Hotels & Resorts,556ce747aceaff43eb056899
Crunch Gym,556a2e68a7c8957d73d41de7
CubeSmart Self Storage,556cfd40aceaff43eb06ba5c
Culver's,556cfc3faceaff43eb0690b3
Cumberland Farms,556cfc3faceaff43eb0690c1
CVS/pharmacy,556f5631bd6a75a99036ab9b
Cycle Gear,556a3540a7c8957d73d4f160
D'Angelo Grilled Sandwiches,556a3fc8a7c8957d73d5c5f0
Dairy Queen,556a4bb0a7c8957d73d68bb4
Daltile,556c98d5a7c87f63786991d6
Days Inn,5569f417a7c8896abe7c7690
dd's DISCOUNTS,556a42bba7c8957d73d5f808
Deals,556c94faa7c8a11a36bdaaf6
Deb Shops,556ca2e1a7c87f63786a7754
Del Taco,563bdac5498eeb86d4b61e72
dELiA*S,556a321ca7c8957d73d49053
Delta,556a45bfa7c8957d73d617dc
Delta Delta Delta,556a384aa7c8957d73d54f0f
Denny's,556e0690a7c82e6b724e70a8
Destination XL,556a23a0a7c8957d73d2e84f
DeVry University,556f44b6bd6a007c7738cef6
Dick's Sporting Goods,556d0353aceaff43eb077ef7
Dickey's Barbecue Pit,556e5126bd6a82902e28178e
Dillard's,556ca462a7c87f63786aa4da
Direct Auto Insurance,556ce747aceaff43eb056896
Discount Tireå¨ Store,556d1914aceaff43eb0a1240
Disney Store,556c9628a7c8a11a36bdd0b5
Divvy,556ce2a7aceaff43eb04b498
Dodge Automobile,57c37e8e498ef1ce34e2644b
Dollar General,556f676fbd6a75a99038d8de
Dollar Tree,556e40c7bd6a82902e2671c9
Domino's Pizza,556e40c7bd6a82902e2671cd
Donatos Pizza,556a410ca7c8957d73d5d847
Dots Fashions,556c8b0ca7c8a11a36bc8622
DoubleTree by Hilton,556cdd65aceaff43eb03dde1
Dress Barn,573cc5a7498e84dcd4adc523
DriveTime Used Cars,556a3474a7c8957d73d4d461
Drury Hotels,556a31e2a7c8957d73d4873e
DSW Designer Shoe Warehouse,556ce2a7aceaff43eb04b492
Duane Reade,556c9990a7c87f637869a5fd
Dunkin' Donuts,556f676fbd6a75a99038d8f0
Dunn Edwards,556a3122a7c8957d73d46ba1
Dutch Bros. Coffee,556c8fa2a7c8a11a36bd09a8
DVDXpress Automated DVD Rentals,556c98d5a7c87f63786991d8
Ecko Unltd.,556a30b6a7c8957d73d46294
Econo Lodge,556f3e26bd6a007c77380a9f
Eddie Bauer,556cdf5baceaff43eb042e02
Edible Arrangements,556e5995bd6a82902e29104e
Einstein Bros.,556ce8d9aceaff43eb0588d6
El Pollo Loco,556f41e9bd6a007c7738720f
Elements Massage‰ã¢,556c8ba0a7c8a11a36bc9627
Embassy Suites,556c8d37a7c8a11a36bcc571
Empire Education Group,556a321ca7c8957d73d4905d
Enterprise Car Sales,556a3a90a7c8957d73d563dd
Enterprise CarShare,556ce4d6aceaff43eb050856
Enterprise Rent-A-Car,556e40c7bd6a82902e2671d5
Equity Residential,556ce8d9aceaff43eb0588d8
